objectnummer;instelling.naam;objectnaam;titel;beschrijving;vervaardiging.datum.begin;vervaardiging.datum.eind;vervaardiger;vervaardiger.rol;vervaardiging.plaats
1644;Design Museum Gent;email (beeldmateriaal);Witje op lijsterbes;"Houten lijst met daarin een schilderij in email op koper, voorstellende een tak van een lijsterbes en een witje. Tegen een effen oranje achtergrond is een tak van een lijsterbes naturalistisch doch enigzins naïef weergegeven, met een tros rode bessen en een takje met dorre bladeren. Op de bessen is een witje (vlinder) neergestreken. De achterzijde van het koperen paneel is volledig bedekt met een dikke laag donkerblauwe emailverf, waarop de signatuur en datering in witte verf zijn aangebracht.
Het schilderijtje is op de voorzijde gesigneerd met de initialen KV of HV. De achterzijde is gesigneerd ""Verbrugge"" met een moeilijk leesbaar initiaal van de voornaam; mogelijk is het K of H. Verder is geschreven ""London 1918 - [?]"" en ""Belgian"".
Volgens de museuminventaris van 1923 betreft het ene H. Verbrugge uit Antwerpen.
Het museum bezit nog een tweede paneel van dezelfde kunstenaar (inv. 1643).
Het schilderijtje is deels in email cloisonné gemaakt. Rondom de bessen, de takken en het witje zijn duidelijk de opstaande randjes koper te zien, die vroeger verguld waren. De achtergrond is niet onderverdeeld maar geheel in effen oranje email gemaakt.";1918;"";Verbrugge;uitvoerder;Londen
1774;Design Museum Gent;schrijfkist;Schrijfkist in Louis XV-stijl;Deze schrijfkist heeft binnenin drie lades. De buitenkant is versierd met eenvoudige rococovormen. Schrijfkisten zoals deze konden makkelijk worden verplaatst en meegenomen zoals een hedendaagse laptop.  ;1750;1750;onbekendonbekend;ontwerperuitvoerder;""
1778;Design Museum Gent;armstoelzetel;Armstoel met geslingerde sporten;Deze armstoel is versierd met geslingerde regels. De achterpoten zijn onversierd gelaten. De vernieuwde bekleding is vastgemaakt met stoffeernagels die een decoratief patroon vormen rondom de zitting en aan de achterkant van de rugleuning. De nog vrij hoge rechte rugleuning sluit aan bij de stoelen van de renaissance en de vroege barok. Kenmerkend voor de barok zijn dan weer de golvende kapregel, de armleuningen die eindigen op voluten, de H-verbinding tussen de poten en de twee extra regels tussen de voorpoten die eindigen op een bolvormige klos. Het onregelmatig combineren van deze verschillende elementen wijst erop dat de stoel in de 19de eeuw werd vervaardigd. Een vergelijkbaar meubel is te vinden in de collectie van Museum Hof van Busleyden in Mechelen.;1800;1899;onbekendonbekend;ontwerperuitvoerder;MechelenMechelen
1791;Design Museum Gent;stoel;Stoel met opengewerkte rugleuning;Deze stoel met een vernieuwde beklede zitting heeft een rugleuning met een opengewerkte rug en een geaccentueerde handgreep met snijwerk. De lichte welving van de hoge rugleuning, die uit Engeland komt overwaaien, moest het zitten aangenamer maken. Verbindingen tussen de poten worden in het begin van de 18de eeuw stilaan een uitzondering: de gekromde overhoeks geplaatste poten, die hier eindigen op hoefjes, zorgen ervoor dat de stoel stabiel kan blijven, ook zonder sporten of verbindingen. Een vergelijkbare stoel is te vinden in de collectie van Hôtel de Groesbeeck de Croix in Namen.;1750;1799;onbekendonbekend;ontwerperuitvoerder;Prinsbisdom LuikPrinsbisdom Luik
1794;Design Museum Gent;armstoelzetel;Fauteuil à la reine;Dit Franse type armstoel wordt 'fauteuil à la reine' genoemd door de rechte rugleuning. Deze stoelen werden langs de muren van de vertrekken geplaatst als decoratie, tegenover de armstoelen 'en cabriolet' met gekromde rug, die dienden voor dagelijks gebruik. Deze stoel werd versierd met snijwerk van bladeren, voluten en schelpen en steunt op S-vormige poten, zogenaamde cabriolepoten. De vernieuwde bekleding werd vastgemaakt met stoffeernagels die een decoratief patroon vormen rondom de zitting, de rugleuning en de manchetten (de kussentjes op de armleggers). De licht naar achteren geplaatste armleggers en de brede zitting van de stoel weerspiegelen de mode van de tijd, waarin vrouwen wijde mouwen en rokken droegen. Een vergelijkbare stoel is te vinden in de collectie van het Ansembourg Museum in Luik;1730;1799;onbekendonbekend;ontwerperuitvoerder;""
1796;Design Museum Gent;armstoelzetel;Fauteuil à la reine met kruisverbinding tussen de poten;"Dit Franse type armstoel wordt 'fauteuil à la reine' genoemd door de rechte rugleuning. Deze stoelen werden langs de muren van de vertrekken geplaatst als decoratie, tegenover de armstoelen 'en cabriolet' met gekromde rug, die dienden voor dagelijks gebruik. Deze stoel werd versierd met snijwerk van bladeren en schelpen en steunt op S-vormige poten, zogenaamde cabriolepoten, die met een kruis verbonden zijn. De vernieuwde bekleding werd vastgemaakt met stoffeernagels die een decoratief patroon vormen rondom de zitting en de rugleuning. De licht naar achteren geplaatste golvende armleggers en de brede zitting van de stoel weerspiegelen de mode van de tijd, waarin vrouwen wijde mouwen en rokken droegen. Een vergelijkbare stoel is te vinden in de collectie van de Koninklijke Musea voor Kunst en Geschiedenis in Brussel.

Twee textielfragmenten in de collectie van het museum bekleedden de stoel bij aankomst in het museum. De fragmenten, versierd met boomtakken, maakten oorspronkelijk deel uit van een wandtapijt.";1730;1799;onbekendonbekend;ontwerperuitvoerder;Zuidelijke NederlandenZuidelijke Nederlanden
1797;Design Museum Gent;commode;Smalle commode met golvende lijnen;Deze smalle commode of ladekast heeft een subtiel gebombeerde of bolle voorkant met uitzwenkende hoeken. Ook de overhoeks geplaatste voorpoten, het snijwerk op de lades en de zijkanten en het marmeren blad zijn uitgewerkt met golvende lijnen. De authenticiteit van het meubel moet verder worden onderzocht. Mogelijk werd het in de 19de eeuw vervaardigd.;1730;1750;onbekendonbekend;ontwerperuitvoerder;""
1800;Design Museum Gent;kabinetschrijfmeubel;Kabinet met marqueterie;Dit kabinet steunt op een open onderstel met zes poten met vaasvormige geledingen. De bovenkast is onderverdeeld in drie traveeën met verschillende lades en twee centrale deurtjes, waarachter zich opnieuw lades bevinden. De bovenkast is versierd met een marqueterie die de indeling benadrukt, bijvoorbeeld met een robbellijst rondom de laden en deuren en een inleg van fijne ivoren bandjes. Aan de bovenkant van het onderstel bevindt zich een blad dat kan uitgeschoven worden om vermoedelijk als schrijftafel te dienen. Kunstkabinetten bewaarden kunst en allerlei curiosa en kostbaarheden, waardoor het geheel als het ware een klein museum werd. Het meubel is een 19de-eeuwse uitvoering naar meubels uit de tweede helft van de 17de eeuw. Vergelijkbare kabinetten zijn te vinden in de collecties van Museum Vleeshuis in Antwerpen, de Koninklijke Musea voor Kunst en Geschiedenis in Brussel en Grand Curtius in Luik.;1800;1899;onbekendonbekend;ontwerperuitvoerder;Antwerpen (stad)Antwerpen (stad)
1801;Design Museum Gent;stoel;Stoel met uitgesneden rugleuning;Deze stoel met een vernieuwde beklede zitting heeft een centrale uitgesneden rugleuning. De lichte welving van de hoge rugleuning, die uit Engeland komt overwaaien, moest het zitten aangenamer maken. Verbindingen tussen de poten worden in het begin van de 18de eeuw stilaan een uitzondering: de gekromde overhoeks geplaatste voorpoten, die hier eindigen op hoeven, zorgen ervoor dat de stoel stabiel kan blijven, ook zonder regels of verbindingen. Een vergelijkbare stoel is te vinden in de collectie van het Museum für Kunst und Gewerbe in Hamburg.;1740;1799;onbekendonbekend;ontwerperuitvoerder;Prinsbisdom LuikPrinsbisdom Luik
1802;Design Museum Gent;kruk;Kruk met ingesnoerde vaasvormige poten;Deze kruk steunt op ingesnoerde vaasvormige potendie door een x-vormig stel regels verbonden zijn. De vernieuwde bekleding is vastgemaakt met stoffeernagels die een decoratief patroon vormen rondom de zitting. ;1800;1899;onbekendonbekend;ontwerperuitvoerder;""
1820;Design Museum Gent;kast;Hoge tweedeurskast met asymmetrisch snijwerk;Deze hoge kast met twee lades onder twee deuren steunt vooraan op drie bolpoten en wordt bovenaan afgewerkt met een accoladevormige kroonlijst. In het midden ervan werd een kuif, vooruitstekend snijwerk, met krullend bladwerk toegevoegd. De kast wordt verder op de (overhoeks geplaatste) stijlen, de kastdeuren en de voorborden van de lades versierd met snijwerk van asymmetrische krullen. Het blank gelaten hout is kenmerkend voor de zogenaamde 'Luikse régence' of 'Luiks-Akense meubelstijl'. Mogelijk was deze kast een linnenkast met legplanken. Een vergelijkbaar kastmeubel is te vinden in de collectie van Grand Curtius in Luik.;1730;1799;onbekendonbekend;ontwerperuitvoerder;MaaslandMaasland
1840;Design Museum Gent;kast;Lage driedeurskast met snijwerk;Deze buffetkast met drie lades boven drie deuren steunt vooraan op vier bolpoten en wordt afgewerkt met een overkragende lijst bovenaan. De kast wordt op de (overhoeks geplaatste) stijlen, de kastdeuren en de voorborden van de lades versierd met snijwerk met bladwerk en rocailles. Het blank gelaten hout is kenmerkend voor de zogenaamde 'Luikse régence' of 'Luiks-Akense meubelstijl'. Een vergelijkbaar kastmeubel is te vinden in de collectie van het Ansembourg Museum in Luik.;1740;1799;onbekendonbekend;ontwerperuitvoerder;""
1847;Design Museum Gent;stoel;Spaanse mansstoel met wapenschild;Deze statige stoel dankt zijn uitstraling aan de lederen bekleding die werd vastgemaakt met metalen nagels en de twee leeuwenkopjes die de achterstijlen bekronen. Op de voorzijde van de rugleuning werd een wapenschild geperst en vervolgens met bladgoud belegd. Het wapen, binnen een ovaalvorm omgezoomd met bladwerk, toont drie rozen en drie jachthorens. De lederen zitting is in het midden versierd met een vierkant. Enkele onderdelen waaronder de regels werden vermoedelijk vernieuwd. Een Spaanse stoel dankt zijn naam aan de lederen bekleding die oorspronkelijk uit het Spaanse Cordoba kwam. Omdat de Nederlanden onder Spaans bewind stonden, kwamen de stoelen er vaak voor. Vergelijkbare stoelen zijn te vinden in de collecties van het Rubenshuis en het Museum Plantin-Moretus in Antwerpen.;1650;1650;onbekendonbekend;ontwerperuitvoerder;Zuidelijke NederlandenZuidelijke Nederlanden
1850;Design Museum Gent;stoel;Spaanse stoel met versierd leder;Deze statige stoel dankt zijn uitstraling aan de geperste lederen bekleding die werd vastgemaakt met metalen nagels. Het decoratief gebruik van de stoffeernagels werd doorgetrokken in de bekroning van de achterstijlen met een metalen bol. De achterpoten lopen zonder onderbreking door in de stijlen van de rugleuning. Op de voorzijde van de rugleuning is centraal een tweekoppige arend geperst tussen bladwerk en grotesken. In het leder zijn oudere nagelgaten te zien, wat doet vermoeden dat de bekleding eerder op een andere constructie bevestigd was. Een Spaanse stoel dankt zijn naam aan de lederen bekleding die oorspronkelijk uit het Spaanse Cordoba kwam. Omdat de Nederlanden onder Spaans bewind stonden, kwamen de stoelen er vaak voor.;1650;1650;onbekendonbekend;ontwerperuitvoerder;Iberisch SchiereilandIberisch Schiereiland
1853;Design Museum Gent;stoel;Stoel met gekroond wapenschild;"Deze statige stoel dankt zijn uitstraling aan de hoge rugleuning met lederen bekleding die aan de zijkanten werd vastgemaakt met metalen nagels. Op de voorzijde van de rug werd een gekroond wapenschild geperst en vervolgens met bladgoud belegd. Het wapen is gedeeld; rechts een rechter schuinbalk beladen met drie rozen; links drie jachthoorns; en werd in een ruim kader van laurierbladeren geplaatst. De onbewerkte achterpoten lopen zonder onderbreking door in de stijlen van de rugleuning.";1650;1699;onbekendonbekend;ontwerperuitvoerder;GentGent
1854;Design Museum Gent;kist;Kist met maskers en lijsten;Deze Italiaanse kist of 'cassone' bestaat uit een raamwerk ingevuld met panelen. Enkel de voorzijde is versierd. Centraal vertrekken aan elke zijde van een lege cartouche acht knorren. Daarrond werden verschillende lijsten in verstek aangebracht met een versiering van onder andere knorren en bloemen. De zijstijlen zijn aan de voorzijde versierd met een masker. Het geheel is afgewerkt met smeedijzeren handvaten, slot en hengsels. De kist steunt op vier poten met vooraan een gekrulde fleur de lis als versiering. De achterste poten gingen verloren. Een vergelijkbare kist is te vinden in de collectie van Museum Hof van Busleyden in Mechelen.;1600;1699;onbekendonbekend;ontwerperuitvoerder;ItaliëItalië
1855;Design Museum Gent;stoel;Spaanse mansstoel met geslingerde poten;Deze stoel heeft een hoge zitting en een lage rugleuning, wat kenmerkend is voor stoelen uit de barok. De zitting, de rugleuning en de achterstijlen zijn bekleed met leder dat werd vastgemaakt met metalen nagels. Een Spaanse stoel dankt zijn naam aan de lederen bekleding die oorspronkelijk uit het Spaanse Cordoba kwam. Omdat de Nederlanden onder Spaans bewind stonden, kwamen de stoelen er vaak voor. Het Spaans leder of goudleer werd hier bedrukt met een versiering van schelpen en bladwerk en werd belegd met bladgoud. De onderbroken tekening op het leder doet vermoeden dat deze bekleding van een ander meubel afkomstig is of eerder met een andere functie (bijvoorbeeld als wandbekleding) werd gebruikt. De hoge geslingerde poten samen met het bedrukte leder en de stoffeernagels zorgen voor de statige uitstraling van deze stoel.;1650;1699;onbekendonbekend;ontwerperuitvoerder;GentGent
1856;Design Museum Gent;stoel;Spaanse mansstoel met leeuwenkoppen;Deze statige stoel dankt zijn uitstraling aan de hoge zitting, de lederen bekleding die werd vastgemaakt met metalen nagels en de twee leeuwenkopjes die de achterstijlen bekronen. De achterpoten lopen zonder onderbreking door in de stijlen van de rugleuning. De gedeeltelijk vernieuwde lederen zitting is in het midden versierd met een vierkant. De (stoffeer)nagels verschillen in grootte en werden ook decoratief aangebracht op de houten poten en regels. Enkele onderdelen waaronder enkele regels werden vermoedelijk vernieuwd. Een Spaanse stoel dankt zijn naam aan de lederen bekleding die oorspronkelijk uit het Spaanse Cordoba kwam. Omdat de Nederlanden onder Spaans bewind stonden, kwamen de stoelen er vaak voor. Vergelijkbare stoelen zijn te vinden in de collecties van het museum Brouwershuis in Antwerpen, het Gruuthusemuseum in Brugge, de Koninklijke Musea voor Kunst en Geschiedenis in Brussel en Museum Hof van Busleyden in Mechelen.;1600;1649;onbekendonbekend;ontwerperuitvoerder;Zuidelijke NederlandenZuidelijke Nederlanden
1859;Design Museum Gent;stoel;Spaanse mansstoel met siernagels en leeuwenkoppen;Deze stoel heeft een hoge zitting en een lange rugleuning, wat kenmerkend is voor stoelen uit de barok. De statige stoel dankt zijn uitstraling aan de lederen bekleding die werd vastgemaakt met metalen nagels en de twee leeuwenkopjes die de achterpoten bekronen. De stoffeernagels met verschillende maten zijn in decoratieve bloemen aangebracht. De achterpoten lopen zonder onderbreking door in de stijlen van de rugleuning. De lederen zitting is in het midden versierd met een vierkant. Enkele onderdelen zoals de voorsport werden vermoedelijk vernieuwd. Een Spaanse stoel dankt zijn naam aan de lederen bekleding die oorspronkelijk uit het Spaanse Cordoba kwam. Omdat de Nederlanden onder Spaans bewind stonden, kwamen de stoelen er vaak voor. Vergelijkbare stoelen zijn te vinden in de collecties van Museum Vleeshuis in Antwerpen, het Gruuthusemuseum in Brugge, de Koninklijke Musea voor Kunst en Geschiedenis in Brussel, Museum Hof van Busleyden in Mechelen en MOU in Oudenaarde.;1649;1699;onbekendonbekend;ontwerperuitvoerder;Zuidelijke NederlandenZuidelijke Nederlanden
1860;Design Museum Gent;hangoortafel;Hangoortafel met verbonden gedraaide poten;Deze tafel heeft twee halfronde zijbladen die kunnen opklappen, om zo het oppervlak van het vaste middendeel te vergroten. De hangoortafel dankt zijn naam aan deze afhangende bladen. Typische voor deze tafels die in de Nederlanden en in Engeland werden geproduceerd, zijn de in de lengte doorgezaagde poten waarop de zijbladen rusten.;1800;1899;onbekendonbekend;ontwerperuitvoerder;NederlandenNederlanden
1862;Design Museum Gent;hangoortafel;Hangoortafel met verbonden gedraaide poten;Deze tafel heeft twee halfronde zijbladen die kunnen opklappen, om zo het oppervlak van het vaste middendeel te vergroten. De hangoortafel dankt zijn naam aan deze afhangende bladen. Typische voor deze tafels die in de Nederlanden en in Engeland werden geproduceerd, zijn de in de lengte doorgezaagde poten waarop de zijbladen rusten.;1680;1750;onbekendonbekend;ontwerperuitvoerder;Noordelijke NederlandenNoordelijke Nederlanden
1863;Design Museum Gent;schrijfkist;Schrijfkist met houtsnijwerk en inlegwerk;Schrijfkist of 'schrijflaey' met ijzeren handvaten waarvan de binnenkant is versierd met houtsnijwerk en houten inlegwerk. Op de keerzijde van het schrijfblad is de kruisiging van Christus afgebeeld. Schrijfkisten zoals deze konden makkelijk worden verplaatst en meegenomen zoals een hedendaagse laptop. Vergelijkbare schrijfkisten zijn te vinden in de collecties van het Snijders & Rockoxhuis in Antwerpen en de Koninklijke Musea voor Kunst en Geschiedenis in Brussel.;1550;1600;onbekendonbekend;ontwerperuitvoerder;DuitslandDuitsland
1866;Design Museum Gent;secrétaire à abattant;Secrétaire à abattant in empirestijl;Deze 'secrétaire à abattant' is een schrijf- en bergmeubel in één. In gesloten toestand is het geheel blokvormig met vlakke zijden, voornamelijk versierd door het beslag en de overhoeks geplaatste kolommen in empirestijl. Het schrijfblad, dat de bovenkast afsluit, kan worden neergelaten ('à abattant') waardoor verschillende kleine lades en vakjes tevoorschijn komen. Deze en vaak ook verborgen laatjes, bewaarden allerlei schrijfbenodigdheden en geheimen, zogenaamde 'secrets', waaraan het meubel zijn naam dankt. Dit type bureau werd heel populair in de tweede helft van de 18de eeuw.;1810;1820;SuySuy;ontwerperuitvoerder;GentGent
1927;Design Museum Gent;armstoel;Fauteuil à la reine met rieten zitting en rugleuning;Dit Franse type armstoel wordt 'fauteuil à la reine' genoemd door de rechte rugleuning. Deze stoelen werden langs de muren van de vertrekken geplaatst als decoratie, tegenover de armstoelen 'en cabriolet' met gekromde rug, die dienden voor dagelijks gebruik. Deze stoel werd versierd met snijwerk van bladeren en schelpen en steunt op S-vormige poten, zogenaamde cabriolepoten. De stoel heeft een rieten zitting en rugleuning, maar de armleggers werden bekleed met leer, omzoomd door decoratief geplaatste nagels. In de Régence werd zitmeubilair met gevlochten zitting en rugleuning voornamelijk in de minder formele vertrekken, zoals tuinkamers en toiletkamers, opgesteld. De licht naar achteren geplaatste armleggers en de brede zitting van de stoel weerspiegelen de mode van de tijd, waarin vrouwen wijde mouwen en rokken droegen. Vergelijkbare stoelen zijn te vinden in de collectie van het Rijksmuseum in Amsterdam.;1720;1740;onbekendonbekend;ontwerperuitvoerder;Noordelijke NederlandenNoordelijke Nederlanden
1952;Design Museum Gent;schrijfmeubelwandtafel;Wandtafel met opklapbaar schrijfmeubel;Deze compacte wandtafel in classicistische of Louis XVI-stijl heeft een opklapbaar schrijfblad en een kast die vanuit de bak tevoorschijn kan komen. De kast is onderverdeeld in kleinere opbergruimtes. ;1770;1780;onbekendonbekend;ontwerperuitvoerder;""
1955;Design Museum Gent;zuil;Getorste smalle zuil;Massieve getorste zuil die vermoedelijk deel uitmaakte van een ajourafsluiting. De zuil is aan drie zijden versierd. Opmerkelijk zijn de gestempelde rozetten in de schubben.;1620;1640;onbekendonbekend;ontwerperuitvoerder;""
1974-0010;Design Museum Gent;schrijfmeubel;Academy;Dit bureau werd gebruikt door Lieven Daenens, directeur van het Museum voor Sierkunst.;1970;1974;Vanden Berghe, BobVan Den Berghe-Pauvers;ontwerperuitvoerder;GentGent
1975-0040;Design Museum Gent;paneel (objectnaam);Paneel met krullend bladwerk;Massief paneel met onderaan twee naar elkaar toegewende koppen. Vanuit de koppen vertrekt symmetrisch bladwerk in C- en S-vormen naar boven. ;1500;1580;onbekendonbekend;ontwerperuitvoerder;""
1975-0041;Design Museum Gent;paneel (objectnaam);Fragment van een een paneel met maaswerk;Fragment van een massief paneel met maaswerk. Het gevlamd maaswerk met spitsbogen en accoladeboog boven een roosvenster was kenmerkend voor het gotische raamwerk van vensters.;1400;1499;onbekendonbekend;ontwerperuitvoerder;""
1976-0223;Design Museum Gent;sierbord (vaatwerk);Sierbord;"Sierbord van bruin geglazuurd steengoed met in het plat een decor van sierlijke lijnen uitgevoerd in in lichtgele engobe. Het lijnenpatroon bestaat uit drie S-vormige tekens die wentelen om een denkbeeldig middelpunt. De drie motieven zijn verbonden in het centrum. Tussen elk S-teken bevindt zich een stip. Dit patroon herinnert aan het oud-Germaanse zonnewiel.Gemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;""
1976-0224;Design Museum Gent;vaas;Vaas;"Peervormige vaas in roodbakkend aardewerk met groene glazuur over een decoratie in donkere engobe. Op de wand van de vaas bevinden zich enkele uitgelengde S-vormige siermotieven die de uitgelengde peervorm van het object sterker accentueren. Deze motieven zijn moeilijk zichtbaar door de donkergroene dik lopende glazuur. Een vaas met een identieke vorm en afmetingen maar een andere kleur glazuur werd in 1976 door Thyl van de Velde, zoon van Henry van de Velde, geschonken aan het museum (inv.nr. 76/246).Gemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0225_0-2;Design Museum Gent;tegel;Twee tegels;"Vierkante geglazuurde witbakkende aardewerken tegel en rechthoekige geglazuurde witbakkende aardewerken tegelGemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0225_1-2;Design Museum Gent;tegel;Vierkante wandtegel met stippen in de hoeken;"Vierkante geglazuurde witbakkende aardewerken wandtegel met witgele stippen in de hoekenGemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0225_2-2;Design Museum Gent;tegel;Rechthoekige wandtegel met stippen in de hoeken;"Rechthoekige geglazuurde witbakkende aardewerken wandtegelGemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0226_0-6;Design Museum Gent;tegel;Zes rechthoekige geel-oranje, gele en oranje wandtegels;"Zes rechthoekige geglazuurde en geel of roodbruin geëngobeerde witbakkende aardewerken wandtegelsGemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0226_1-6;Design Museum Gent;tegel;Rechthoekige geel-oranje wandtegel;"Rechthoekige geglazuurde roodbruin geëngobeerde witbakkende aardewerken wandtegelGemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0226_2-6;Design Museum Gent;tegel;Rechthoekige gele wandtegel;"Rechthoekige geglazuurde geel geëngobeerde witbakkende aardewerken wandtegelGemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0226_3-6;Design Museum Gent;tegel;Rechthoekige gele wandtegel;"Rechthoekige geglazuurde geel geëngobeerde witbakkende aardewerken wandtegelGemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0226_4-6;Design Museum Gent;tegel;Rechthoekige geel-oranje wandtegel;"Rechthoekige geglazuurde roodbruin geëngobeerde witbakkende aardewerken wandtegelGemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0226_5-6;Design Museum Gent;tegel;Rechthoekige bruin-oranje wandtegel;"Rechthoekige geglazuurde roodbruin geëngobeerde witbakkende aardewerken wandtegelGemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0226_6-6;Design Museum Gent;tegel;Rechthoekige geel-oranje wandtegel;"Rechthoekige geglazuurde roodbruin geëngobeerde witbakkende aardewerken wandtegelGemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0227;Design Museum Gent;tegel;Rechthoekige groene wandtegel;"Rechthoekige groen geglazuurde witbakkende aardewerken wandtegelGemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0228_0-2;Design Museum Gent;tegel;Twee okergeel-roodbruine tegels met gestileerde bloem;"Twee okergeel-roodbruine geglazuurde, geëngobeerde tegels uitgevoerd in witbakkend aardewerk, voorzien van een zwierig geëngobeerde voorstelling van een gestileerde bloem met stengel en bladmotievenGemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0228_1-2;Design Museum Gent;tegel;Okergeel-roodbruine tegel met gestileerde bloem;Okergeel-roodbruine geglazuurde, geëngobeerde tegel uitgevoerd in witbakkend aardewerk, voorzien van een zwierig geëngobeerde voorstelling van een gestileerde bloem met stengel en bladmotieven;1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0228_2-2;Design Museum Gent;tegel;Okergeel-roodbruine tegel met gestileerde bloem;Okergeel-roodbruine geglazuurde, geëngobeerde tegel uitgevoerd in witbakkend aardewerk, voorzien van een zwierig geëngobeerde voorstelling van een gestileerde bloem met stengel en bladmotieven;1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0229_0-6;Design Museum Gent;tegel;Zes rechthoekige geel-oranje wandtegels;"Zes rechthoekige geglazuurde en roodbruin geëngobeerde witbakkende aardewerken wandtegelsGemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0229_1-6;Design Museum Gent;tegel;Rechthoekige geel-oranje wandtegel;"Rechthoekige geglazuurde en roodbruin geëngobeerde witbakkende aardewerken wandtegelGemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0229_2-6;Design Museum Gent;tegel;Rechthoekige geel-oranje wandtegel;"Rechthoekige geglazuurde en roodbruin geëngobeerde witbakkende aardewerken wandtegelGemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
